Year	Cage1sem1	Ctotsem1	Cage1sem2	Ctotsem2	Bage1.depm	Btot.depm	Bage1.ac	Btot.ac	G1	G2	cv.ssbdepm	cv.ssbac	psidepm	psiac	Robs
1987	4561	11719	2219	2666	10637	21943	NA	NA	0.405	0.141	0.480	NA	4.823	NA	NA
1988	6739	10002	4018	4404	37813	45230	NA	NA	0.266	0.125	0.310	NA	10.898	NA	NA
1989	3026	7153	643	1086	4128	9477	6476	15500	0.323	0.129	0.410	NA	6.436	68.800	NA
1990	17337	19386	12080	14347	71142	74371	NA	NA	0.566	0.130	0.170	NA	35.100	NA	NA
1991	6150	15025	2743	3087	7821	13295	28322	64000	0.626	0.198	0.140	NA	51.519	68.800	NA
1992	19737	26381	9939	10829	56202	60332	84439	89000	NA	NA	0.200	NA	25.497	68.800	NA
1993	12152	24058	12589	15255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1994	8236	23214	8849	10408	23739	37777	NA	35000	0.594	0.283	0.170	NA	35.100	68.800	NA
1995	11600	23479	4961	5629	28416	36432	NA	NA	NA	NA	0.092	NA	117.880	NA	NA
1996	13007	21024	10397	11864	NA	26148	NA	NA	NA	NA	0.160	NA	39.560	NA	NA
1997	6730	10600	8675	9852	21098	29022	38498	63000	0.911	0.324	0.096	NA	109.006	68.800	NA
1998	9620	12918	14811	18481	60344	77643	NA	57000	NA	NA	0.090	NA	123.956	68.800	NA
1999	3681	15381	6136	10617	NA	45932	NA	NA	NA	NA	0.150	NA	44.943	NA	NA
2000	12036	22536	11463	14354	NA	28321	89363	113120	NA	NA	0.150	0.064	44.943	244.640	NA
2001	10379	23095	13828	17043	45779	75826	67110	105801	0.649	0.266	0.110	0.141	83.144	50.798	NA
2002	2585	11089	3720	6405	4330	22462	27642	110566	0.249	0.032	0.132	0.113	57.717	78.814	NA
2003	1055	4074	3376	6405	11401	16109	18687	30632	0.769	0.206	0.280	0.132	13.249	57.891	NA
2004	5467	9183	6285	7004	9121	11496	33995	45965	0.410	0.157	0.150	0.167	44.943	36.354	98601
2005	146	1127	0	0	1441	4832	2467	14643	0.277	0.205	0.187	0.171	29.125	34.696	2406
2006	982	1659	69	95	10451	14872	18282	30877	0.493	-0.307	0.191	0.136	28.045	54.564	134131
2007	42	140	0	0	7946	13060	26230	40876	0.524	0.146	0.200	0.100	25.497	100.499	78298
2008	0	0	0	0	3940	12898	10400	37574	0.458	0.333	0.260	0.162	15.287	38.602	13121
2009	0	0	0	0	5460	12832	11429	34855	0.618	0.439	0.204	0.112	24.620	80.218	20879
2010	3099	6111	3544	3971	25543	31277	64564	86355	0.325	0.276	0.224	0.147	20.408	46.775	178028
2011	3701	10913	3256	3576	112202	135732	115379	142601	0.465	-0.123	0.151	0.077	44.589	42.229	599990
2012	948	8600	3869	5753	8936	26663	73843	186865	0.793	0.351	0.199	0.046	25.038	115.377	207625
2013	1854	8560	0	0	17421	40797	42508	93854	NA	NA	0.160	0.128	39.725	61.534	142083
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
