	no	yes2	yes1
1	-78.0241	-78.0241	-78.0241
2	-72.2898	-72.2898	-72.2898
3	-61.5492	-90.0688	-61.5492
4	-36.5882	-36.5882	-36.5882
5	-87.5813	-87.5813	-87.5813
6	-7.4361	1.65091	-7.4361
7	-97.0945	-97.0945	-97.0945
8	-100.64	-100.64	-100.64
9	NA	64.2754	NA
10	84.1374	NA	84.1374
11	NA	NA	NA
12	NA	NA	NA
13	72.7549	93.1395	72.7549
14	26.9894	57.1272	26.9894
15	-43.3123	NA	-43.3123
16	NA	NA	NA
17	NA	NA	NA
18	-68.3862	-68.3862	-68.3862
19	-27.9974	-27.9974	-27.9974
20	NA	-48.033	NA
21	NA	NA	NA
22	NA	NA	NA
23	NA	-32.0373	NA
24	-54.4864	-44.1413	-54.4864
25	NA	-71.5402	NA
26	NA	-13.6604	NA
27	-48.893	-101.046	-48.893
28	22.4485	22.4485	22.4485
29	-77.3939	-77.3939	-77.3939
30	NA	NA	NA
31	-71.8926	-71.8926	-71.8926
32	NA	NA	NA
33	NA	NA	NA
34	NA	232.552	NA
35	NA	NA	NA
36	NA	NA	NA
37	NA	NA	NA
38	-12.1369	-57.0394	-12.1369
39	-303.444	-256.276	-303.444
40	100.272	51.4933	100.272
41	NA	29.9295	NA
42	-13.2965	NA	-13.2965
43	1.25397	NA	1.25397
44	NA	-91.4472	NA
45	NA	-19.7114	NA
46	-126.065	-126.065	-126.065
47	-74.5248	NA	-74.5248
48	NA	NA	NA
49	NA	NA	NA
50	-0.58312	-37.7239	-0.58312
51	-160.738	-161.098	-160.738
52	NA	-146.91	NA
53	NA	-118.361	NA
54	NA	NA	NA
55	NA	NA	NA
56	NA	-21.5199	NA
57	NA	-102.307	NA
58	-102.378	-104.422	-102.378
59	-52.5661	-52.5661	-52.5661
60	NA	NA	NA
61	NA	NA	NA
62	NA	NA	NA
63	38.0638	NA	38.0638
64	NA	28.5687	NA
65	-84.5203	-84.5203	-84.5203
66	-73.6974	-73.6974	-73.6974
67	NA	NA	NA
68	-138.358	-138.358	-138.358
69	-87.8163	NA	-87.8163
70	-102.093	NA	-102.093
71	-35.0533	NA	-35.0533
72	-97.0899	-97.0899	-97.0899
73	NA	-6.68236	NA
74	-85.7492	-85.7492	-85.7492
75	-124.924	NA	-124.924
76	NA	-102.087	NA
77	NA	-100.269	NA
78	-0.235275	NA	-0.235275
79	-61.7426	NA	-61.7426
80	-121.069	-121.069	-121.069
81	-66.3206	-66.3206	-66.3206
82	-56.3774	-107.066	-56.3774
83	NA	NA	NA
84	NA	NA	NA
85	NA	NA	NA
86	NA	NA	NA
87	-16.6542	NA	-16.6542
88	NA	NA	NA
89	NA	NA	NA
90	NA	-110.664	NA
91	-6.57408	-107.594	-6.57408
92	NA	-63.5453	NA
93	NA	NA	NA
94	NA	-83.7237	NA
95	NA	-96.0273	NA
96	NA	NA	NA
97	NA	-74.733	NA
98	NA	NA	NA
99	NA	NA	NA
100	-111.578	-111.578	-111.578
101	NA	-121.157	NA
102	NA	NA	NA
103	NA	-105.358	NA
104	NA	-105.454	NA
105	NA	NA	NA
106	NA	-35.0143	NA
107	-96.8323	-96.8323	-96.8323
108	NA	-91.5964	NA
109	NA	-50.3543	NA
110	NA	NA	NA
111	NA	NA	NA
112	4.59235	NA	4.59235
113	NA	-21.6583	NA
114	NA	NA	NA
115	NA	-94.6761	NA
116	-90.8192	-90.8192	-90.8192
117	-45.4055	-45.4055	-45.4055
118	-144.01	-144.01	-144.01
119	-88.0537	-88.0537	-88.0537
120	NA	-101.792	NA
121	NA	-16.2092	NA
122	-34.4892	NA	-34.4892
123	-64.5737	-106.165	-64.5737
124	NA	-71.4719	NA
125	NA	-72.082	NA
126	-121.123	NA	-121.123
127	-119.388	NA	-119.388
128	NA	-32.6536	NA
129	-87.5076	-87.5076	-87.5076
130	-49.1224	NA	-49.1224
131	-69.9849	-69.9849	-69.9849
132	-53.4646	-103.312	-53.4646
133	-49.1929	NA	-49.1929
134	NA	NA	NA
135	NA	NA	NA
136	NA	NA	NA
